group,0,e4,12e
folder,1,e7,ff
click,1,e7,ff
rentroll,1,e7,ff
desk,2,2e,76,9f,fe,167
fine,3,33
second,4
happy,5,8,7b,fd
owner,23,95,e9,f0,139,15d
adding,23
day,24,96,12f,15e
account,24,25,52,96,97,c2,11f,12d,15f
owner financing,26,98,160
rate,26,98,160
credit,26,160
thanks,27,56,99,ae,161
allen,27,2d,3a,3d,4a,4d,63,69,74,77,94,99,9e,a1,aa,ad,b5,bb,cc,cf,d8,e5,ec,ee,f3,f5,101,10e,116,129,13a,14a,161,166,169,16b,172,175
house,27
keith,27,aa,172
materials,28,29,2d,9a,9b,9e,116,120,124,162,163,166
doors,2a,13f
price,2a,cd,115,13f
meeting,2a,13f
finally,2a,13f
financial,2b,9c,117,164
swaps,2b,9c,117,164
gas daily,2b,9c,117,164
janie,2b,2e,9c,117,164,167
randy,2b,9c,117,164
lenhart,2b,3c,9c,ac,117,130,164,174
tholt,2b,9c,117,164
strategy,2d,9e,116,166
reports,2e,9f,167
list,2e,48,9f,b8,127,167,17f
west,2e,59,74,9f,e5,101,13d,167
drive,2e,9f,167
common,2e,9f,167
steve,2f,3c,a0,ac,107,130,168,174
bob,30,a1,106,169
western,31,a2,105,16a
summaries,31,a2,105,16a
march,32
thank,33,d2
later today,34
briefing,35,a6,103,16e
insurance,36,140
turnaround,37,a7,16f
updated,37,44,a7,b3,16f,17a
want,37
cash,38,a8,170
traders,38,6d,a8,dc,170
tomorrow,39,a9
change master,3a,aa,f5,172
holst,3a
managing,3c,ac,130,174
months,3c,ac,130,174
book,3c,ac,130,174
execution,3c,ac,130,174
ermis,3c,ac,130,174
vishal,3d,ad,f3,175
groups,3d,ad,f3,175
shankman,3d,ad,f3,175
jacques,3e,af,12c,176
karen,3f,141,142
table discussion,40,b0,177
ski,40,b0,c6,177
play,40,b0,177
local,41,b1,12b,178
bid,41,48,b1,b8,127,12b,178,17f
fha,41,b1,12b,178
flores,41
unit,41
issues facing,42,b2,12a,179
included,42
risk,45,b4,17b
futures,45,b4,17b
short price,45,b4
adjusted,45
chad,46,143
risk rotation,47,b6,17d
june,48,b8,127,17f
plans,48,b8,127,17f
numer,49,b9,126
gary,49
marcos,4b,69,bc,d8,10e,125
process,4b,bc,d7,125
park,4b,bc,125
rooms,4b,bc,125
try,4c,bd
gordon,4e,bf,123
pallen,4e,5b,bf,ca,119,123
spring,4e
san,4e,bf
cell phone,4e
natural gas,50,144
slides,50,144
mike,51
painewebber,53,c3,11e
questions,53,c3,11e
communications,53,c3,11e
answered,53,c3,11e
orders,53,c3,15a
pay late,54,c4,11d
balance,54,11d
weekend,54
year,56
cost,57,c7
draw,58
returns,5a,c9,11a
city,5c,ba
justin likes power ranger,5c,ba
stuff,5c,ba
art,5c,ba
physical,5d,84,cb,118
related,5d,cb,118
harrison,5d,cb,118
aec,5d,cb,118
sell long,5d,cb,118
subject,5d,cb,118
beck,5e,cc
way,5e
evening,60,7b
home,61,d0
cell,61,d0
agreement,62,d1,113
hydro,64,d3,112
john,64,d3,112
richey,64,d3,112
developments,65,d4,111
contacts,65,d4,111,178
lease information,66,d5,110
letter,67,d6,10f
collecting,67,94,d6,10f
utility,67,6b,d6,da,10c,10f
cap,67
cold,67
pool,68,d7
worth,6a,d9,10d
files,6a,d9,10d
later,6a,d9,10d,123,14e,165
multifamily,6b,da,10c
taxes,6b,da,10c
land,6b,da,10c
dates,6b,da,10c
rezoned,6b
costs,6b,10c
leander deal,6b
demand,6c,db,10b
total,6c,db,10b
jan,6c,db,10b
forecast,6c,db,10b
assign,6d,dc
technology,6e,dd
roll,6e
soon,6f,de,10a
noi,6f,de,10a
operating,6f
leases,70,df,109
date,70,df,109
information,70,df,109
items,70
looks,71,e0,108
answers,71
activate,72,e2,17c
news,72,e2,17c
space,73,e3
utility bills,75,e6,100
original,78
possible,79
stage,7b
coach,7b
position,7c
ethical,7c
got,82
cheaper,87,f4,14f
use,87,121
keeps,88,150
messenger,8c
excel,8f
maintenance,92
normal,92
network,93
expansion,95,15d
developer,98
probably visit,99
saturday,9d
south,9f
let,a3
lucci,a4
cortez,a4,16c
social,a5,16d
security,a5,16d
asap,ae,104,13b
construction,b1,12b
drawings,b1,12b
var calculation,b4
greg,b5,129
stagecoach,b7
april,b9
know,be
wed,bf
soils,bf
green,bf
expansions,c1
looks like,c4
rangel,c5
potential,c6
llc,c8,11b
higher,cd
write,ce
wait,d6
wire transfer,da
country slipping,da
fax,dd
partial,de
rentroll_ file,df
richards,e1
website,e8,f1
report,e9,f0,139
external,ea,eb,ed,ef
intercontinental,ea,eb,ed,ef
explorer,ec,13a
dailytotal,ee
technical,f0
conference,f0
practice,f4
shiring,f5
spreadsheet,f7,146
cbpres,102,13c
jsmith,104,13b
rivera,106
rentroll_,109
statement,10a
general status,10c
slipping,10c
conserve energy,10f
estimate,115
owe,11d
notice,11e
talk,123
study,123
understand,126
alberto,134
enter,138
following,139
described,14f
watching,154
improves,159
tasks,15a
collecting rent,15c
resolve,15e
vacancies,15f
happy baby,161
niccole,16c
morning,171
weekly,179
offset,17b
large,17b
partially,17b
